               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 140,            0.047365,             0.02008,             0.01125,             0.57657,                0.75,             0.64854,             0.30603,            0.054112,            0.015363,            0.022228,           0.0086239,           0.0086239,           0.0086239
                 141,            0.050898,             0.02164,            0.011264,              0.7284,             0.88333,               0.833,              0.5201,            0.046199,            0.013825,            0.022125,            0.008614,            0.008614,            0.008614
                 142,            0.046754,            0.017241,            0.010813,             0.55255,             0.81667,              0.7259,             0.36569,            0.050701,            0.014816,            0.022282,           0.0086041,           0.0086041,           0.0086041
                 143,            0.046228,            0.020196,            0.011071,             0.59323,             0.87457,             0.77677,             0.40103,            0.051201,            0.014989,            0.022305,           0.0085942,           0.0085942,           0.0085942
                 144,            0.046507,            0.022341,           0.0099696,             0.77467,             0.81667,              0.8035,             0.43413,            0.049813,            0.014273,            0.022285,           0.0085843,           0.0085843,           0.0085843
                 145,            0.047167,            0.021239,            0.010211,             0.72625,             0.88333,             0.80444,             0.42899,            0.049337,            0.015369,            0.021687,           0.0085744,           0.0085744,           0.0085744
                 146,            0.044841,            0.018463,           0.0095594,             0.72487,             0.85526,             0.77837,             0.38331,            0.051556,            0.016138,            0.021717,           0.0085645,           0.0085645,           0.0085645
                 147,             0.04779,            0.019894,           0.0097327,             0.69394,             0.87698,             0.81017,             0.48585,            0.051862,            0.014926,            0.021282,           0.0085546,           0.0085546,           0.0085546
                 148,            0.046782,            0.016981,           0.0086256,             0.78222,             0.84039,             0.79408,              0.3591,            0.051512,            0.014752,            0.021587,           0.0085447,           0.0085447,           0.0085447
                 149,            0.046863,            0.019828,            0.010159,             0.78942,             0.86658,             0.82751,             0.48246,            0.046936,            0.013559,            0.021397,           0.0085348,           0.0085348,           0.0085348
                 150,            0.041647,            0.018503,           0.0094121,             0.70562,             0.81667,             0.78808,             0.38232,            0.051201,            0.013967,            0.021824,           0.0085249,           0.0085249,           0.0085249
                 151,            0.045595,            0.019884,           0.0098753,             0.65004,             0.85975,             0.82779,             0.42548,            0.048568,            0.013036,            0.022133,            0.008515,            0.008515,            0.008515
                 152,            0.043462,            0.021645,            0.009711,              0.6455,              0.8686,              0.7705,             0.42052,            0.047924,             0.01409,            0.022995,           0.0085051,           0.0085051,           0.0085051
                 153,            0.047454,             0.02212,            0.010047,             0.69807,             0.87099,             0.82594,             0.42964,            0.050752,             0.01368,            0.022934,           0.0084952,           0.0084952,           0.0084952
                 154,            0.043961,            0.019759,           0.0093173,             0.64625,             0.81667,             0.78404,             0.39538,            0.049905,            0.014077,            0.022762,           0.0084853,           0.0084853,           0.0084853
                 155,            0.044059,            0.019897,           0.0097327,             0.64264,             0.88333,             0.80952,             0.38597,            0.055259,             0.01423,            0.022995,           0.0084754,           0.0084754,           0.0084754
